date,IWM,QQQ,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2024-06-06,199.1362,458.3363,521.9571,43.6344,42.3767,40.0386,118.8087,106.1994,74.0253,35.7417,33.3572,141.4243,87.7156
2024-06-07,196.7985,457.9308,521.3225,43.1966,42.2078,40.2228,118.9351,106.4463,73.6554,35.4616,32.9940,141.5790,87.3567
2024-06-10,197.4734,459.7805,522.9333,43.1533,42.5267,40.0677,119.3046,106.7178,73.5985,35.6390,33.4185,142.1011,87.6369
2024-06-11,196.7986,462.9358,524.1927,43.1389,42.4423,39.6119,118.6240,108.7026,73.5606,35.5269,33.2157,141.5113,87.4058
2024-06-12,199.8196,468.9993,528.4980,43.2207,41.9874,39.5731,119.7518,111.1070,72.7544,35.7791,32.9987,141.2116,88.3155
2024-06-13,198.0737,471.5413,529.5621,43.2062,41.6028,39.5440,118.9837,111.9858,72.8493,35.9565,33.0742,141.0956,88.3843
2024-06-14,194.9251,473.9845,529.8843,42.8069,41.2932,39.4180,117.7879,112.4055,72.9820,35.9846,32.9940,141.0472,87.6861
2024-06-17,196.5632,479.7907,534.1015,43.1245,41.4011,39.7671,119.0907,114.1088,73.6744,35.7978,32.6307,140.9022,89.2252
2024-06-18,196.9065,479.9391,535.4586,43.0763,41.5746,40.0192,119.7324,114.2520,73.7692,35.9378,32.6449,141.0859,88.9252
2024-06-20,196.0727,476.2397,534.0040,43.1196,42.3391,40.2325,119.8101,112.9683,73.6080,35.8445,32.9279,141.5500,89.0383
2024-06-21,196.5141,474.9637,533.2881,43.1245,42.0952,40.0774,119.5573,112.7708,73.6649,35.9378,32.7345,141.9464,89.7906
2024-06-24,197.3675,469.5565,531.5545,43.4024,43.1567,40.4892,120.0656,110.0061,74.4504,36.1803,33.1649,142.7744,89.4072
2024-06-25,196.7201,474.9261,533.6014,42.8513,43.2560,40.1874,119.0413,112.0240,73.9726,35.6709,32.8510,142.3279,89.0475
2024-06-26,196.2002,475.9069,534.2675,42.8223,42.8304,39.9343,118.7193,111.8954,73.8197,35.6237,32.7131,141.8232,90.3386
2024-06-27,198.1914,477.1354,535.1097,42.7015,42.9297,39.8856,118.8461,111.9498,73.5044,35.9445,32.7702,141.5902,90.8905
2024-06-28,199.0055,474.6586,533.0041,42.6870,43.0952,40.0219,118.8949,111.8905,73.1795,36.2369,32.4040,141.4737,89.8803
2024-07-01,197.3381,477.4425,534.1009,42.0296,43.1188,40.1095,117.6169,112.7362,72.6634,35.8879,32.1805,140.6778,90.1858
2024-07-02,198.0148,482.4555,537.6953,42.1069,43.0857,40.5768,118.2608,113.3000,73.1699,36.0388,32.3469,140.1633,91.9401
2024-07-03,197.9658,486.4778,540.0948,42.4211,43.2749,40.4502,118.6900,114.8283,73.0457,36.0011,32.5419,139.0956,92.5265
2024-07-05,197.0242,491.5502,543.2094,42.4888,42.5988,40.4405,118.2608,115.1795,73.9439,36.1331,32.5990,140.1730,93.2804
2024-07-08,198.4072,492.7192,543.8360,42.6145,42.3387,40.3334,118.4071,115.9659,73.8293,36.2180,32.6323,140.0177,93.3247
2024-07-09,197.5440,493.1453,544.3649,42.1794,41.9652,40.6449,117.8901,115.8719,73.6382,36.2275,32.7274,140.6972,93.6352
2024-07-10,199.4763,498.2870,549.7516,42.7450,42.2489,40.8007,118.9437,117.5535,73.9631,36.4822,33.0365,142.0270,94.3398
2024-07-11,206.6464,487.3595,545.0112,43.3299,42.6886,41.1220,120.4559,114.6107,73.6860,37.4539,33.6404,143.0268,93.1424
2024-07-12,209.0592,490.2227,548.4490,43.7456,42.7973,41.2583,121.1485,115.6345,74.0108,37.7275,33.8877,143.9198,94.3596
2024-07-15,213.0317,491.5403,549.9573,43.6344,43.4451,41.8618,122.0168,115.8422,73.5808,37.8879,33.0650,143.4150,94.2511
2024-07-16,220.2999,491.7285,553.2186,44.4803,43.6389,42.3389,125.0606,115.4564,74.2880,38.2464,33.3218,145.4632,95.9413
2024-07-17,217.9948,477.2939,545.4619,44.3885,44.0739,42.6601,123.4607,110.9656,75.2436,38.5860,33.3408,146.1232,94.3398
2024-07-18,213.7772,475.0351,541.2701,43.9486,44.1543,42.1442,122.4948,110.9755,74.8709,38.2653,33.3123,142.8035,93.3789
2024-07-19,212.6884,470.8246,537.6757,43.5571,43.6720,41.7158,121.8217,109.2395,74.6224,38.2181,33.3503,143.5315,92.5461
2024-07-22,216.0723,477.8387,543.2190,43.7021,43.3978,41.9495,123.0607,111.8262,74.6702,38.5955,33.6309,144.3566,93.5662
2024-07-23,218.3676,476.1545,542.3670,43.8761,42.7075,42.0273,122.8265,111.3810,74.4026,38.5294,33.4217,144.2692,93.1473
2024-07-24,213.6791,459.0748,530.0757,43.3154,42.7122,41.4530,120.1827,106.7715,74.3358,38.0011,33.7974,145.4728,89.3383
2024-07-25,216.3470,454.0123,527.3137,43.4362,43.4498,41.6087,121.1485,105.6290,74.2497,37.7936,33.5168,144.7448,88.9884
2024-07-26,219.9271,458.6685,533.2195,44.1468,43.5869,42.2610,123.2168,106.9693,75.0047,38.4257,33.8449,145.5602,89.9838
2024-07-29,217.4848,459.5900,533.5329,44.2241,43.2134,42.2026,123.0021,106.4945,75.0333,38.6710,33.9971,145.6476,91.4867
2024-07-30,218.3087,453.2791,530.8298,44.0791,43.8848,42.6894,123.3631,103.8188,74.5269,38.9540,34.1730,145.7737,90.9792
2024-07-31,219.5740,466.6934,539.4582,44.5383,44.0692,42.5823,124.7387,108.2157,74.3931,38.8596,34.6153,145.2399,92.3885
2024-08-01,212.4334,455.3893,531.8190,44.3595,42.9014,41.9787,122.4265,104.1798,75.0811,39.4634,35.2383,146.7250,90.1218
2024-08-02,204.9201,444.5807,521.9172,43.5232,41.7950,40.9467,119.7339,101.2519,75.7405,39.4917,35.2953,146.4338,86.8054
2024-08-05,198.3287,431.3250,506.7172,42.5516,40.8731,39.7590,117.6559,97.8788,74.2497,38.3502,34.3633,142.5220,84.3515
2024-08-06,200.4866,435.4464,511.3889,42.7692,41.1237,40.4016,119.0705,99.2092,74.7658,39.1993,34.6533,143.1821,85.2828
2024-08-07,198.1129,430.7306,507.9708,42.1891,41.2891,40.4502,118.4949,97.6018,74.8422,38.9162,34.8483,141.7261,83.7947
2024-08-08,202.9289,443.9070,519.7137,42.8417,42.1780,41.1025,121.2266,101.2469,75.5207,39.2464,34.8864,144.8613,85.6228
2024-08-09,202.5072,446.2253,522.0054,42.8078,42.2725,41.2777,121.2461,101.7020,75.6354,39.4446,35.0053,145.5796,85.9086
2024-08-12,200.6828,447.1862,522.2797,42.6193,42.4806,41.0635,120.6315,102.5329,75.2531,39.2087,35.0671,145.0263,85.5686
2024-08-13,203.9882,458.2822,530.8689,43.0447,42.0692,41.4043,121.8997,105.6834,75.5971,39.4823,35.2716,146.7832,87.7121
2024-08-14,202.7229,458.4308,532.5437,43.0447,42.3151,41.9105,122.3973,106.2621,75.9412,39.6238,35.2478,147.3074,87.2440
2024-08-15,207.9803,470.0122,541.6716,43.7262,42.8210,42.2999,124.0460,109.3186,76.7247,39.5106,35.2430,148.2295,90.0281
2024-08-16,208.5296,470.6165,542.8860,43.7794,42.7737,42.6115,123.8704,109.5016,76.9350,39.4917,35.4000,148.3848,90.2400
2024-08-19,211.0798,476.7986,548.0768,43.9873,43.0621,42.8451,124.6216,111.3069,77.1930,39.7276,35.6330,149.2875,91.3487
2024-08-20,208.6179,475.7979,547.1856,43.8278,41.9274,42.7088,124.2802,110.9161,77.5752,39.7653,35.5569,149.8893,91.2650
2024-08-21,211.3349,478.0171,549.0660,44.3305,41.9983,42.6407,125.0314,111.5690,78.1008,39.8974,35.8089,150.1417,92.4180
